CustomerID,Lookalikes
C0001,"[('C0091', 0.89), ('C0184', 0.86), ('C0192', 0.85)]"
C0002,"[('C0134', 0.95), ('C0159', 0.94), ('C0106', 0.93)]"
C0003,"[('C0085', 0.94), ('C0031', 0.91), ('C0048', 0.86)]"
C0004,"[('C0113', 0.89), ('C0104', 0.85), ('C0108', 0.79)]"
C0005,"[('C0007', 0.95), ('C0186', 0.82), ('C0123', 0.82)]"
C0006,"[('C0187', 0.79), ('C0169', 0.76), ('C0158', 0.7)]"
C0007,"[('C0005', 0.95), ('C0140', 0.82), ('C0123', 0.78)]"
C0008,"[('C0024', 0.88), ('C0098', 0.87), ('C0194', 0.86)]"
C0009,"[('C0121', 0.95), ('C0060', 0.93), ('C0119', 0.93)]"
C0010,"[('C0062', 0.97), ('C0198', 0.94), ('C0132', 0.86)]"
C0011,"[('C0153', 0.87), ('C0118', 0.8), ('C0107', 0.73)]"
C0012,"[('C0195', 0.87), ('C0163', 0.87), ('C0148', 0.87)]"
C0013,"[('C0099', 0.92), ('C0107', 0.76), ('C0188', 0.76)]"
C0014,"[('C0009', 0.91), ('C0121', 0.88), ('C0063', 0.84)]"
C0015,"[('C0144', 0.9), ('C0058', 0.89), ('C0036', 0.86)]"
C0016,"[('C0117', 0.92), ('C0046', 0.81), ('C0183', 0.79)]"
C0017,"[('C0075', 0.9), ('C0051', 0.84), ('C0179', 0.79)]"
C0018,"[('C0183', 0.88), ('C0050', 0.88), ('C0068', 0.83)]"
C0019,"[('C0119', 0.89), ('C0121', 0.85), ('C0009', 0.78)]"
C0020,"[('C0144', 0.82), ('C0050', 0.82), ('C0058', 0.81)]"
